0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:21 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:21 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:21 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:22 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:25 +0530] "GET /EcommerceFrontend2/admin/productInventory/editProduct/130 HTTP/1.1" 200 4847
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:25 +0530] "GET /EcommerceFrontend2/resource/css/admin.css HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:25 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "POST /EcommerceFrontend2/admin/productInventory/addProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/admin/productInventory HTTP/1.1" 200 9787
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:12:17:35 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:17:50 +0530] "GET /EcommerceFrontend2/admin/productInventory HTTP/1.1" 200 9787
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:06 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:18:24 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:01 +0530] "GET /EcommerceFrontend2/admin/productInventory/editProduct/131 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:01 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:01 +0530] "GET /EcommerceFrontend2/resource/css/admin.css HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:31 +0530] "POST /EcommerceFrontend2/admin/productInventory/editProduct HTTP/1.1" 500 11979
