127.0.0.1 - - [22/Dec/2017:13:21:52 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:54 +0530] "GET /EcommerceFrontend2/ HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:54 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:55 +0530] "GET /EcommerceFrontend2/resource/images/Rado.jpg HTTP/1.1" 200 165843
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:55 +0530] "GET /EcommerceFrontend2/resource/images/Rado2.jpg HTTP/1.1" 200 80999
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:55 +0530] "GET /EcommerceFrontend2/resource/images/men.jpg HTTP/1.1" 200 51650
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:55 +0530] "GET /EcommerceFrontend2/resource/images/women.jpg HTTP/1.1" 200 16389
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:55 +0530] "GET /EcommerceFrontend2/resource/images/Timex.jpg HTTP/1.1" 200 247421
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:21:55 +0530] "GET /EcommerceFrontend2/resource/images/kid.jpg HTTP/1.1" 200 43767
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:22:32 +0530] "GET /EcommerceFrontend2/ HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:22:34 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:22:36 +0530] "GET /EcommerceFrontend2/resource/images/Rado.jpg HTTP/1.1" 200 165843
0:0:0:0:0:0:0:1 - - [22/Dec/2017:13:22:36 +0530] "GET /EcommerceFrontend2/resource/images/Timex.jpg HTTP/1.1" 200 247421
